Date ,Day,Month,Quarter,Year,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,No of trades 
02-Jan-25,Thursday,January,Q1,2025,EQ,"2,565.70","2,602.00","2,537.00","2,554.85","2,587.85","2,597.70","2,569.89","3,743.90","2,025.00",1167236,73015
01-Jan-25,Wednesday,January,Q1,2025,EQ,"2,536.00","2,644.20","2,518.25","2,528.65","2,545.90","2,554.85","2,561.31","3,743.90","2,025.00",2875721,140672
31-Dec-24,Tuesday,December,Q4,2024,EQ,"2,575.00","2,577.75","2,507.45","2,592.35","2,530.00","2,528.65","2,531.14","3,743.90","2,025.00",2745674,124232
30-Dec-24,Monday,December,Q4,2024,EQ,"2,425.00","2,610.00","2,421.95","2,409.95","2,585.00","2,592.35","2,549.07","3,743.90","2,025.00",7825097,338992
27-Dec-24,Friday,December,Q4,2024,EQ,"2,415.00","2,446.15","2,390.50","2,400.25","2,420.00","2,409.95","2,421.00","3,743.90","2,025.00",1982291,73559
26-Dec-24,Thursday,December,Q4,2024,EQ,"2,378.05","2,410.00","2,368.00","2,372.45","2,401.00","2,400.25","2,389.27","3,743.90","2,025.00",895785,63476
24-Dec-24,Tuesday,December,Q4,2024,EQ,"2,355.20","2,412.90","2,340.00","2,338.95","2,372.00","2,372.45","2,381.05","3,743.90","2,025.00",1156186,70017
23-Dec-24,Monday,December,Q4,2024,EQ,"2,373.95","2,379.50","2,332.75","2,344.95","2,346.00","2,338.95","2,351.63","3,743.90","2,025.00",758920,54920
20-Dec-24,Friday,December,Q4,2024,EQ,"2,429.00","2,453.85","2,333.00","2,419.35","2,349.20","2,344.95","2,403.77","3,743.90","2,025.00",1337016,75322
19-Dec-24,Thursday,December,Q4,2024,EQ,"2,429.00","2,434.00","2,397.10","2,457.40","2,421.95","2,419.35","2,417.59","3,743.90","2,025.00",1181898,74211
18-Dec-24,Wednesday,December,Q4,2024,EQ,"2,489.00","2,496.60","2,452.00","2,487.60","2,459.55","2,457.40","2,469.89","3,743.90","2,025.00",990217,56893
17-Dec-24,Tuesday,December,Q4,2024,EQ,"2,512.00","2,525.00","2,480.75","2,512.40","2,488.85","2,487.60","2,503.41","3,743.90","2,025.00",1061891,52797
16-Dec-24,Monday,December,Q4,2024,EQ,"2,530.00","2,537.50","2,503.00","2,527.55","2,507.00","2,512.40","2,518.05","3,743.90","2,025.00",654321,39040
13-Dec-24,Friday,December,Q4,2024,EQ,"2,504.00","2,545.00","2,479.05","2,504.10","2,527.00","2,527.55","2,516.13","3,743.90","2,025.00",1940935,86754
12-Dec-24,Thursday,December,Q4,2024,EQ,"2,457.00","2,534.80","2,446.25","2,457.25","2,504.00","2,504.10","2,500.62","3,743.90","2,025.00",2579624,136426
11-Dec-24,Wednesday,December,Q4,2024,EQ,"2,469.00","2,480.00","2,451.00","2,467.20","2,455.00","2,457.25","2,461.57","3,743.90","2,025.00",712674,43901
10-Dec-24,Tuesday,December,Q4,2024,EQ,"2,501.00","2,501.00","2,455.00","2,495.85","2,467.50","2,467.20","2,473.87","3,743.90","2,025.00",1119844,56796
09-Dec-24,Monday,December,Q4,2024,EQ,"2,507.90","2,526.00","2,483.15","2,506.40","2,494.80","2,495.85","2,503.59","3,743.90","2,025.00",958369,53488
06-Dec-24,Friday,December,Q4,2024,EQ,"2,520.00","2,535.00","2,502.50","2,522.55","2,504.90","2,506.40","2,517.43","3,743.90","2,025.00",1240437,56172
05-Dec-24,Thursday,December,Q4,2024,EQ,"2,505.00","2,538.15","2,470.25","2,494.75","2,520.90","2,522.55","2,504.40","3,743.90","2,025.00",3333144,160996
04-Dec-24,Wednesday,December,Q4,2024,EQ,"2,528.00","2,530.05","2,470.10","2,514.20","2,485.00","2,494.75","2,496.08","3,743.90","2,025.00",2344949,110526
03-Dec-24,Tuesday,December,Q4,2024,EQ,"2,464.00","2,558.00","2,462.05","2,457.05","2,511.00","2,514.20","2,510.57","3,743.90","2,025.00",4070042,160160
02-Dec-24,Monday,December,Q4,2024,EQ,"2,491.35","2,508.00","2,426.60","2,463.15","2,452.10","2,457.05","2,456.14","3,743.90","2,025.00",3807565,154130
29-Nov-24,Friday,November,Q4,2024,EQ,"2,464.05","2,520.00","2,400.00","2,437.10","2,457.00","2,463.15","2,460.36","3,743.90","2,025.00",8191680,315730
28-Nov-24,Thursday,November,Q4,2024,EQ,"2,440.00","2,526.30","2,400.00","2,397.80","2,437.00","2,437.10","2,467.73","3,743.90","2,025.00",14445549,590705
27-Nov-24,Wednesday,November,Q4,2024,EQ,"2,180.00","2,418.00","2,142.15","2,150.50","2,399.00","2,397.80","2,324.71","3,743.90","2,025.00",17502156,620492
26-Nov-24,Tuesday,November,Q4,2024,EQ,"2,265.60","2,292.85","2,136.00","2,257.50","2,166.85","2,150.50","2,189.62","3,743.90","2,025.00",7723187,316539
25-Nov-24,Monday,November,Q4,2024,EQ,"2,315.00","2,333.65","2,238.00","2,228.00","2,265.20","2,257.50","2,295.02","3,743.90","2,025.00",7466733,252789
22-Nov-24,Friday,November,Q4,2024,EQ,"2,101.00","2,289.70","2,025.00","2,183.65","2,229.90","2,228.00","2,188.51","3,743.90","2,025.00",20939196,711465
21-Nov-24,Thursday,November,Q4,2024,EQ,"2,539.35","2,539.35","2,155.05","2,821.50","2,160.00","2,183.65","2,254.30","3,743.90","2,142.00",21796668,792663
19-Nov-24,Tuesday,November,Q4,2024,EQ,"2,831.00","2,894.80","2,809.80","2,818.70","2,817.00","2,821.50","2,858.60","3,743.90","2,142.00",536296,44585
18-Nov-24,Monday,November,Q4,2024,EQ,"2,826.80","2,858.65","2,793.30","2,826.80","2,820.00","2,818.70","2,825.41","3,743.90","2,142.00",489692,42870
14-Nov-24,Thursday,November,Q4,2024,EQ,"2,824.00","2,844.80","2,801.00","2,816.70","2,820.00","2,826.80","2,823.39","3,743.90","2,142.00",646797,66067
13-Nov-24,Wednesday,November,Q4,2024,EQ,"2,860.00","2,889.00","2,808.00","2,870.00","2,817.00","2,816.70","2,840.32","3,743.90","2,142.00",890146,67503
12-Nov-24,Tuesday,November,Q4,2024,EQ,"2,910.00","2,930.45","2,855.00","2,903.65","2,860.00","2,870.00","2,895.50","3,743.90","2,142.00",597231,53386
11-Nov-24,Monday,November,Q4,2024,EQ,"2,928.00","2,946.80","2,888.00","2,929.10","2,903.00","2,903.65","2,915.81","3,743.90","2,142.00",584144,44808
08-Nov-24,Friday,November,Q4,2024,EQ,"2,965.10","2,995.00","2,911.25","2,970.10","2,920.00","2,929.10","2,947.35","3,743.90","2,142.00",835641,49840
07-Nov-24,Thursday,November,Q4,2024,EQ,"3,045.00","3,045.00","2,943.05","3,046.25","2,962.65","2,970.10","2,968.25","3,743.90","2,142.00",1285585,84570
06-Nov-24,Wednesday,November,Q4,2024,EQ,"2,918.00","3,070.00","2,918.00","2,915.55","3,046.25","3,046.25","3,010.70","3,743.90","2,142.00",1676755,99615
05-Nov-24,Tuesday,November,Q4,2024,EQ,"2,897.40","2,924.00","2,870.00","2,897.40","2,917.55","2,915.55","2,898.85","3,743.90","2,142.00",752303,59721
04-Nov-24,Monday,November,Q4,2024,EQ,"2,935.00","2,943.00","2,857.75","2,949.50","2,890.00","2,897.40","2,895.82","3,743.90","2,142.00",1059384,87457
01-Nov-24,Friday,November,Q4,2024,EQ,"2,960.00","2,975.60","2,928.40","2,947.25","2,941.05","2,949.50","2,957.08","3,743.90","2,142.00",304673,13462
31-Oct-24,Thursday,October,Q4,2024,EQ,"2,967.90","2,976.50","2,933.85","2,969.30","2,948.95","2,947.25","2,950.81","3,743.90","2,142.00",1156390,82267
30-Oct-24,Wednesday,October,Q4,2024,EQ,"2,864.00","2,997.15","2,815.05","2,848.60","2,955.00","2,969.30","2,944.04","3,743.90","2,142.00",2884272,145520
